model,method,metric,n,mean,median,std,ci95_lo,ci95_hi
resnet50,grad_cam,faithfulness_correlation,256,0.11673155504240638,0.12208102270960805,0.1593711835493134,0.09725324839931773,0.13711392854694396
resnet50,integrated_gradients,faithfulness_correlation,256,0.08602567488196655,0.08692254498600954,0.16445663603529947,0.06621003309556954,0.10606719568257858
vit_b16,grad_cam,faithfulness_correlation,107,-0.026433506749339707,-0.0280361752957105,0.15871112784527858,-0.057506534951482245,0.003620298659901142
vit_b16,integrated_gradients,faithfulness_correlation,256,0.08605086557201957,0.08178012445569036,0.18904949695536039,0.0638584658349373,0.10904102768055277
resnet50,grad_cam,max_sensitivity,256,0.6339660665253177,0.6073852777481079,0.1720025233673453,0.613251374711399,0.655333549156785
resnet50,integrated_gradients,max_sensitivity,256,0.7141378477681428,0.7111059129238129,0.03003714754446545,0.7105131787946448,0.7180159964598716
vit_b16,grad_cam,max_sensitivity,107,2.464682513865355,1.0,6.963176172191539,1.536476939533637,4.098763757888402
vit_b16,integrated_gradients,max_sensitivity,256,0.49619750515557826,0.47869277000427246,0.11645294812535495,0.4820715889101848,0.5104907445813296
